"cause","sex","age","n","rt_upper","rt_lower","rt"
"Hypertensive heart disease","Males","1-4 years",5.84624,0.122745,0.0297358,0.0680956
"Hypertensive heart disease","Males","5-9 years",2.38164,0.039147,0.0100206,0.0227159
"Hypertensive heart disease","Males","10-14 years",3.60768,0.0619223,0.0157805,0.0357203
"Hypertensive heart disease","Males","15-19 years",12.8289,0.205108,0.0595397,0.119544
"Hypertensive heart disease","Males","20-24 years",35.1251,0.519689,0.172214,0.322472
"Hypertensive heart disease","Males","25-29 years",71.2769,1.15085,0.286486,0.652516
"Hypertensive heart disease","Males","30-34 years",126.124,2.19623,0.590216,1.23416
"Hypertensive heart disease","Males","35-39 years",246.757,4.54638,1.25588,2.448
"Hypertensive heart disease","Males","40-44 years",504.316,7.99729,2.89521,4.82642
"Hypertensive heart disease","Males","45-49 years",952.239,12.942,4.8041,8.52956
"Hypertensive heart disease","Males","50-54 years",1394.95,18.9899,8.12449,12.8899
"Hypertensive heart disease","Males","55-59 years",1569.43,24.0457,10.9348,16.6172
"Hypertensive heart disease","Males","60-64 years",1729.7,33.0052,14.4142,21.6474
"Hypertensive heart disease","Males","65-69 years",1572.93,41.2834,18.8935,27.5159
"Hypertensive heart disease","Males","70-74 years",1538.41,59.278,25.3674,36.8501
"Hypertensive heart disease","Males","75-79 years",1749.32,90.5972,37.443,55.4095
"Hypertensive heart disease","Males","80+ years",6812.66,259.473,113.437,163.41
"Hypertensive heart disease","Females","28-364 days",3.17016,0.299623,0.0781162,0.164802
"Hypertensive heart disease","Females","1-4 years",3.78066,0.0854979,0.0244245,0.0461202
"Hypertensive heart disease","Females","5-9 years",1.40896,0.0332776,0.00679493,0.0140536
"Hypertensive heart disease","Females","10-14 years",1.64096,0.0362465,0.0090951,0.0170115
"Hypertensive heart disease","Females","15-19 years",3.72049,0.0683195,0.0193833,0.0363772
"Hypertensive heart disease","Females","20-24 years",8.90557,0.156624,0.0453039,0.0861962
"Hypertensive heart disease","Females","25-29 years",19.5044,0.323381,0.108341,0.189192
"Hypertensive heart disease","Females","30-34 years",39.2142,0.691468,0.211905,0.397293
"Hypertensive heart disease","Females","35-39 years",86.3911,1.40925,0.514762,0.872256
"Hypertensive heart disease","Females","40-44 years",221.265,3.69176,1.16487,2.12794
"Hypertensive heart disease","Females","45-49 years",433.441,6.7248,1.96657,3.8126
"Hypertensive heart disease","Females","50-54 years",635.956,9.33873,3.086,5.66986
"Hypertensive heart disease","Females","55-59 years",815.33,14.1078,4.12924,8.15009
"Hypertensive heart disease","Females","60-64 years",1083.4,20.5632,7.35496,12.515
"Hypertensive heart disease","Females","65-69 years",1233.15,31.5117,10.333,19.065
"Hypertensive heart disease","Females","70-74 years",1599.64,52.9385,18.2628,31.9559
"Hypertensive heart disease","Females","75-79 years",2356.76,98.9723,31.2737,56.6837
"Hypertensive heart disease","Females","80+ years",17829.4,369.13,151.752,243.142
"Road injury","Males","0-6 days",2.62464,10.1046,3.45952,6.22675
"Road injury","Males","7-27 days",3.36589,4.56391,1.38627,2.66806
"Road injury","Males","28-364 days",59.8422,5.16919,1.59127,2.96823
"Road injury","Males","1-4 years",356.89,7.8746,2.33011,4.15697
"Road injury","Males","5-9 years",298.145,4.6881,1.79475,2.84368
"Road injury","Males","10-14 years",389.888,5.81637,2.61293,3.86035
"Road injury","Males","15-19 years",2930.84,35.5375,19.5763,27.3107
"Road injury","Males","20-24 years",4119.03,49.3227,28.5133,37.8154
"Road injury","Males","25-29 years",2783.18,35.9892,16.8977,25.4791
"Road injury","Males","30-34 years",1948.5,27.4036,11.5256,19.0667
"Road injury","Males","35-39 years",1751.62,25.0996,10.6217,17.3773
"Road injury","Males","40-44 years",1985.45,27.5278,10.7299,19.0012
"Road injury","Males","45-49 years",2266.56,29.8444,11.4637,20.3024
"Road injury","Males","50-54 years",2198.28,29.3219,11.4663,20.3131
"Road injury","Males","55-59 years",1785.86,27.3393,10.2132,18.9087
"Road injury","Males","60-64 years",1561.85,29.0388,10.3284,19.5468
"Road injury","Males","65-69 years",1171.5,30.9227,10.6916,20.4935
"Road injury","Males","70-74 years",1053.93,39.9955,13.3544,25.2452
"Road injury","Males","75-79 years",1028.69,50.1776,19.6738,32.5836
